Corrente do Motor;Taxa da Balanca
7,857;0
7,857;0
7,857;0
7,857;0
7,857;0
7,886;0
7,886;0
7,857;0
7,857;0
7,857;0
7,857;0
7,857;0
7,857;0
7,857;0
7,829;0
7,829;0
7,857;0
7,857;0
7,886;0
7,886;0
7,886;0
7,943;0
7,943;0
7,857;0
7,857;0
7,857;0
7,857;0
7,886;0
7,886;0
7,886;0
7,886;0
7,886;0
7,914;0
7,914;0
7,914;0
7,914;0
7,886;0
7,886;0
7,886;0
7,886;0
7,886;0
7,857;0
7,857;0
7,886;0
7,886;0
7,943;0
8,029;9,4578198
8,029;9,4578198
8,371;17,66782468
8,371;17,66782468
8,914;17,66782468
8,914;23,65116336
9,657;23,65116336
9,657;27,58861468
10,114;27,58861468
10,114;27,36815268
10,114;27,36815268
10,029;23,26755948
10,029;23,26755948
9,171;23,26755948
9,171;16,7771582
8,343;16,7771582
8,343;9,19767464
8,057;9,19767464
8,057;5,22935864
8;5,22935864
8;5,92601856
8;5,92601856
8,057;5,92601856
8,057;9,72678344
8,371;9,72678344
8,371;12,9631656
8,629;12,9631656
8,629;9,6782818
8,629;9,6782818
8,286;4,94275804
8,286;4,94275804
8;4,94275804
8;4,20200572
8,629;4,20200572
8,629;14,06106636
10,314;14,06106636
10,314;30,05337984
14,486;30,05337984
14,486;45,64004324
14,486;45,64004324
15,2;57,40389556
15,2;57,40389556
17,6;57,40389556
17,6;65,24793352
17,886;65,24793352
17,886;71,0549026
17,886;71,0549026
18,429;74,17664452
18,429;74,17664452
18,086;75,35832084
18,086;75,35832084
17,771;75,35832084
17,771;75,0011724
17;75,0011724
17;71,21363524
16,029;71,21363524
16,029;64,55568284
16,029;64,55568284
14,486;64,55568284
14,486;56,46913668
13,771;56,46913668
13,771;45,1065252
12,343;45,1065252
12,343;31,1292344
8,4;31,1292344
8,4;19,2463326
8,4;19,2463326
8,029;9,79292204
8,029;9,79292204
7,857;0
7,943;0
7,943;0
7,943;0
7,943;0
7,943;0
7,886;0
7,886;0
7,857;0
7,857;0
7,886;0
7,886;0
7,886;0
7,886;0
7,886;0
7,886;0
7,886;0
7,914;0
7,914;0
7,886;0
7,886;0
7,886;0
8,371;18,23661664
8,371;18,23661664
11;18,23661664
11;32,94143204
13,514;32,94143204
13,514;46,12505964
16,429;46,12505964
16,429;56,95415308
16,429;56,95415308
18,086;67,47459972
18,086;67,47459972
20,257;71,14896639
20,257;80,21877307
22,829;82,0559564
22,829;90,04990852
24,829;93,72427519
24,829;98,45979895
24,829;98,45979895
23,171;94,36508473
23,171;94,36508473
18,543;87,0163514
18,543;79,74551464
14,629;79,74551464
14,629;71,3635494
14,2;71,3635494
14,2;64,154442
14,2;64,154442
13,486;54,44529552
13,486;54,44529552
13,343;54,44529552
13,343;44,02185216
11,371;44,02185216
11,371;40,90892872
12,571;40,90892872
12,571;46,5395282
12,571;46,5395282
14,429;53,30330236
14,429;53,30330236
15,229;55,76806752
15,229;55,76806752
15,114;55,76806752
15,114;54,19837808
13,514;54,19837808
13,514;44,07917228
11,371;44,07917228
11,371;33,58518108
11,371;33,58518108
9,229;31,55693068
9,229;31,55693068
9,171;31,55693068
9,171;33,29858048
10,943;33,29858048
10,943;32,6945146
9,514;32,6945146
9,514;26,83904388
9,514;26,83904388
9;26,83904388
9;23,98185636
9;23,98185636
9;31,34528716
12,543;31,34528716
12,543;43,99539672
15,829;43,99539672
15,829;56,16489912
15,829;56,16489912
17,829;65,75499612
17,829;65,75499612
20;65,75499612
20;73,70926508
22;77,38363175
22;82,56448875
19,4;78,89012208
19,4;82,33373852
19,4;82,33373852
18,257;82,74820708
18,257;82,74820708
18,029;82,74820708
18,029;79,52505264
15,886;79,52505264
15,886;75,19517896
16,8;75,19517896
16,8;72,25862512
16,343;72,25862512
16,343;71,09458576
16,343;71,09458576
16,857;71,09458576
16,857;70,8344406
16,571;70,8344406
16,571;70,53902152
17,886;70,53902152
17,886;72,71718608
19,257;72,71718608
19,257;75,74192472
19,257;75,74192472
17,714;75,74192472
17,714;76,16080252
17,4;76,16080252
17,4;74,295694
16,486;74,295694
16,486;73,14488236
20;73,14488236
20;74,3177402
20;74,3177402
19,371;74,08845972
19,371;74,08845972
15,943;74,08845972
15,943;67,50105516
14,114;67,50105516
14,114;58,201968
12,743;58,201968
12,743;53,19307136
12,743;53,19307136
12,829;48,6559634
12,829;48,6559634
11,086;48,6559634
11,086;42,6153046
10,914;42,6153046
10,914;33,62927348
10;33,62927348
10;30,2253402
10;30,2253402
10,029;32,09485796
10,029;32,09485796
10,343;32,09485796
10,343;33,67336588
10,943;33,67336588
10,943;29,61245584
9,971;29,61245584
9,971;26,565671
9,971;26,565671
10,514;35,87798588
10,514;35,87798588
14,886;35,87798588
14,886;48,67360036
19,486;48,67360036
19,486;62,2584688
19,486;62,2584688
19,229;72,64663824
19,229;72,64663824
22,6;85,20415376
22,6;85,20415376
23,429;87,04133709
